"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","1120013","1881/01/27","14 h 20 min","7","C","MITTELLAND (BERNE)","SUISSE",""
"","630049","1881/03/01","22 h 10 min","4","E","LIVRADOIS (ST-DIER-D'AUVERGNE ?))","AUVERGNE",""
"","1120014","1881/03/03","3 h 40 min","7","E","VALAIS (BRIG ? )","SUISSE",""
"","540011","1881/03/19","10 h","4","E","VALLEE DE LA MEURTHE (LUNEVILLE ?)","LORRAINE",""
"","140030","1881/06","","4","I","PAYS D'AUGE (ST-PIERRE-SUR-DIVES)","NORMANDIE",""
"","1120015","1881/06/09","0 h 35 min","5","B","BAS-VALAIS (BEX)","SUISSE",""
"","210019","1881/07/04","17 h 38 min 30 sec","6","B","AUXOIS (BLAISY-HAUT)","BOURGOGNE",""
"","730122","1881/07/22","2 h 45 min","7","B","BELLEDONNE-PELVOUX","ALPES SAVOYARDES",""
"","730120","1881/07/22","0 h 5 min","5.5","C","BELLEDONNE-PELVOUX","ALPES SAVOYARDES","PRECURSEUR"
"","730127","1881/08/05","0 h 30 min","6","B","BELLEDONNE-PELVOUX","ALPES SAVOYARDES","REPLIQUE"
"","740049","1881/11/14","3 h 30 min","4.5","C","LAC LEMAN (VILLENEUVE)","SUISSE",""
"","1100003","1881/11/18","23 h 10 min","6","B","HAUTES-FAGNES (SPA)","BELGIQUE",""
"","1120016","1881/11/25","18 h 22 min","6","B","BAS-VALAIS (AIGLE)","SUISSE",""
"","490110","1882/01/25","7 h 40 min","4.5","E","VALLEE DE LA LOIRE (BRISSAC-QUINCE ?)","ANJOU",""
"","800007","1882/02/17","22 h 45 min","3.5","C","PONTHIEU ET VIMEU (ST-BLIMONT)","PICARDIE","PRECURSEUR"
"","800008","1882/02/18","4 h","4","C","PONTHIEU ET VIMEU (ST-BLIMONT)","PICARDIE",""
"","640574","1882/03","9 h 30 min","4.5","C","PAYS BASQUE (LOUHOSSOA)","PYRENEES OCCIDENTALES",""
"","1120097","1882/04/17","2 h","5.5","C","JURA SUISSE (LA SARRAZ)","SUISSE",""
"","730187","1882/05/11","23 h 30 min","5","C","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",""
"","1110008","1882/05/21","16 h 40 min","5","B","VALLEE DU RHIN (KAISERSTUHL)","ALLEMAGNE",""
"","170060","1882/07/26","15 h 38 min","6","C","SAINTONGE (SAINTES)","CHARENTES",""
"","210021","1882/08/14","4 h 13 min","4.5","B","COTE DIJONNAISE (NUITS-SAINT-GEORGES)","BOURGOGNE",""
"","880021","1882/09/13","0 h 40 min","5","B","VOSGES COMTOISES (LE VAL-D'AJOL)","VOSGES",""
"","740051","1882/10/12","2 h","3","B","AVANT-PAYS SAVOYARD (MASSONGY)","ALPES SAVOYARDES",""
"","730140","1882/12/10","17 h 40 min","5","C","BELLEDONNE-PELVOUX","ALPES SAVOYARDES",""
"","1110199","1882/12/29","9 h","4","B","FORET NOIRE (KIRCHZARTEN)","ALLEMAGNE",""
"","760046","1882/12/31","18 h 30 min","5","B","PONTHIEU ET VIMEU (AULT)","PICARDIE",""
"","1110009","1883/01/24","5 h 5 min","5","B","BRISGAU (FREIBURG)","ALLEMAGNE",""
"","530004","1883/03/08","15 h","5","I","MAYENNAIS (ST-DENIS-DE-GASTINES)","MAINE",""
"","1100103","1883/06/12","0 h 5 min","4.5","B","HAUTES-FAGNES (SPA)","BELGIQUE",""
"","1150134","1883/06/25","13 h 40 min","5","C","CORNWALL-DEVONSHIRE","GRANDE-BRETAGNE",""
"","790013","1883/08/09","3 h","5","E","MELLOIS (BRIOUX-SUR-BOUTONNE ?)","POITOU",""
"","420004","1883/08/14","10 h","5","C","PLAINE DU FOREZ (FEURS)","FOREZ-LYONNAIS",""
